"CITY","total_contributions","number_of_contributions"
"PALO ALTO",32802485.5,19
"WOODSIDE",1e+06,1
"SANTA MONICA",991000,2
"CORONA",280517.27,7
"LOS ALTOS HILLS",250000,1
"HILMAR",238966.08,12
"FRESNO",229607.47,11
"COARSEGOLD",151500,2
"REDDING",150000,1
"NEWPORT BEACH",134268.45,11
"BAKERSFIELD",128632.77,34
"SAN DIEGO",120860.44,41
"CORONA DEL MAR",117260.25,5
"ROSEVILLE",101604.1,3
"BEVERLY HILLS",100614,6
"BIG BEAR LAKE",1e+05,1
"SAN RAFAEL",90393.12,12
"LOS ANGELES",58832.36,11
"IRVINE",53500,5
"NORTHRIDGE",50000,1
"WILTON",23867.41,11
"TORRANCE",19800,2
"BREA",10471.73,1
"SANTA YNEZ",10362.3,3
"LA JOLLA",10310.5,4
"TUSTIN",10262.3,2
"HUNTINGTON BEACH",10100,2
"CLOVIS",10000,1
"SAN FRANCISCO",10000,1
"DIAMOND BAR",9948.17,1
"HANFORD",9600,9
"SACRAMENTO",8104.1,3
"ORANGE",7705.24,3
"VISALIA",6800,6
"PASADENA",5986.13,3
"SAN RAMON",5300,4
"BRADBURY",5236.13,1
"LAGUNA BEACH",5236.13,1
"EL DORADO HILLS",5100,2
"DANVILLE",5000,1
"DELANO",5000,1
"LAFAYETTE",5000,1
"TULARE",4000,4
"GUSTINE",3000,1
"WALNUT CREEK",2855.24,4
"SAN JOSE",2155.82,9
"NEWPORT COAST",2000,2
"CUPERTINO",1620.93,3
"KINGSBURG",1500,3
"RIVERSIDE",1304.1,3
"RANCHO SANTA FE",1262.3,3
"APTOS",1257.59,2
"GILROY",1250,2
"SANTA ROSA",1250,2
"SEAL BEACH",1103.1,2
"CANOGA PARK",1047.64,1
"MOUNTAIN VIEW",1047.64,1
"ROSS",1047.64,1
"SANTA ANA",1047.64,1
"CARSON",1000,1
"CONCORD",1000,1
"DINUBA",1000,1
"LIVE OAK",1000,1
"PIXLEY",1000,1
"SAN BERNARDINO",1000,1
"TIPTON",1000,1
"WINDSOR",799.3,2
"VENTURA",750,2
"VISTA",708.38,2
"PORTOLA VALLEY",629.32,2
"RIPON",605.24,2
"SAUGUS",524.08,1
"PLACERVILLE",522.55,2
"NOVATO",521.15,1
"ORANGEVALE",520.51,1
"REDWOOD CITY",512.3,2
"SANTA CLARITA",512.3,2
"LA CANADA FLINTRIDGE",500,1
"LOMPOC",500,1
"MARICOPA",500,1
"MILL VALLEY",500,1
"SANTA CLARA",455.26,3
"PLEASANTON",450,3
"ESCONDIDO",404.1,4
"LAGUNA NIGUEL",366.4,2
"LONG BEACH",362.3,2
"COVINA",342.3,5
"FALLBROOK",315.74,3
"NAPA",309.34,3
"FAIR OAKS",304.1,3
"LOS ALTOS",300,3
"STEVENSON RANCH",300,2
"MORGAN HILL",262.3,1
"PALOS VERDES ESTATES",262.3,1
"PETALUMA",262.3,1
"CAMARILLO",260.25,1
"BRAWLEY",250,1
"LA MESA",250,1
"MANHATTAN BEACH",250,1
"REDLANDS",250,1
"TIBURON",250,1
"VILLA PARK",250,1
"SARATOGA",210.53,1
"FREMONT",210.52,2
"MAGALIA",210.48,2
"SELMA",210.48,2
"MODESTO",209.95,1
"TRACY",209.36,2
"ELK GROVE",209.34,2
"CLAREMONT",208.2,2
"GLENDALE",205.24,2
"CHOWCHILLA",200,1
"MENLO PARK",200,2
"PLEASANT HILL",200,2
"BERKELEY",150,1
"ALISO VIEJO",107.22,2
"CARLSBAD",105.26,1
"SUNNYVLE",105.26,1
"AZUSA",105.24,1
"DIAMOND SPRINGS",105.24,1
"GLENDORA",105.24,1
"HALF MOON BAY",105.24,1
"MENIFEE",105.24,1
"NEWCASTLE",105.24,1
"PALMDALE",105.24,1
"PINE GROVE",105.24,1
"RANCHO CUCAMONGA",105.24,1
"SANTEE",105.24,1
"SOLANA BEACH",105.24,1
"STOCKTON",105.24,1
"VALLEJO",105.24,1
"WHITTIER",105.24,1
"EL SOBRANTE",104.48,1
"ANAHEIM",104.1,1
"FRIANT",104.1,1
"LANCASTER",104.1,1
"LOMITA",104.1,1
"MARYSVILLE",104.1,1
"MERCED",104.1,1
"MISSION VIEJO",104.1,1
"ORLAND",104.1,1
"PLAYA VISTA",104.1,1
"WEST COVINA",104.1,1
"ATHERTON",100,1
"BELMONT",100,1
"CAMPBELL",100,1
"CARMICHAEL",100,1
"CASTRO VALLEY",100,1
"COALINGA",100,1
"EL CAJON",100,1
"ENCINITAS",100,1
"FAIRFIELD",100,1
"FOREST FALLS",100,1
"FOSTER CITY",100,1
"GOLD RIVER",100,1
"GOLETA",100,1
"HACIENDA HEIGHTS",100,1
"HEALDSBURG",100,1
"HERMOSA BEACH",100,1
"INDIAN WELLS",100,1
"JANESVILLE",100,1
"LAGUNA HILLS",100,1
"LIVERMORE",100,1
"ORINDA",100,1
"RANCHO PALOS VERDES",100,1
"RESEDA",100,1
"SAN DIMAS",100,1
"SAN JUAN CAPISTRANO",100,1
"SAN MARCOS",100,1
"SAN MARINO",100,1
"SIMI VALLEY",100,1
"SUNLAND",100,1
"VALLEY VILLAGE",100,1
"WALNUT",100,1
"MARINA DEL REY",50,1
