"CITY","total_contributions","number_of_contributions"
"SACRAMENTO",20824741.46,3499
"LOS ANGELES",6269631.34,6864
"SAN FRANCISCO",6054586.59,6741
"OAKLAND",4397797.83,2891
"SANTA CRUZ",2110514.33,1373
"PALO ALTO",1687461.99,1008
"MENLO PARK",1145833,662
"SAN DIEGO",952303.73,5066
"ATHERTON",718880.01,96
"SAN JOSE",517927.58,2985
"BEVERLY HILLS",405911,420
"BERKELEY",334375.5,2272
"SANTA MONICA",311459,1169
"LOS ALTOS",309925,596
"LONG BEACH",308737.38,1403
"NEWPORT BEACH",293837.5,400
"SANTA ANA",237488.5,336
"ENCINO",235647,423
"WOODSIDE",230097.5,142
"PASADENA",210754.75,1043
"ROSEVILLE",202011,681
"BURLINGAME",188012,289
"CLAREMONT",174734,266
"SANTA BARBARA",173288.09,1766
"SANTA ROSA",167470.5,1721
"CORONA DEL MAR",167110,121
"WALNUT CREEK",147271,1257
"SAN BERNARDINO",146761,88
"SAN LUIS OBISPO",134702,420
"BUENA PARK",133420,81
"CARMEL VALLEY",125861.57,149
"MILL VALLEY",114127.22,863
"FRESNO",95563,699
"PACIFIC PALISADES",94120,269
"SAN RAFAEL",84473,1105
"IRVINE",80852,703
"SAN MATEO",80564.98,679
"ENCINITAS",77931,601
"LAFAYETTE",76004,433
"PALM SPRINGS",75853,993
"PIEDMONT",73715,353
"DAVIS",69122,840
"HUNTINGTON BEACH",68987.5,705
"SAUSALITO",65667,303
"MOUNTAIN VIEW",65007.41,642
"PETALUMA",63771.44,831
"REDWOOD CITY",63728.5,632
"SHERMAN OAKS",63716,782
"LA JOLLA",63001,507
"LOS ALTOS HILLS",62815,127
"SUNNYVALE",62779.1,566
"AGOURA HILLS",59915,152
"CARLSBAD",59293.5,853
"MANHATTAN BEACH",58670,451
"NAPA",57336.5,772
"ALAMEDA",57141.53,673
"SAN PEDRO",57078,309
"HILLSBOROUGH",55076,136
"MILLBRAE",54320,62
"SONOMA",53721,654
"LOS GATOS",52525.5,503
"CHICO",51529.5,693
"NOVATO",49012.49,712
"VENTURA",46082.56,762
"SEBASTOPOL",45974.52,663
"CUPERTINO",45562,265
"RANCHO PALOS VERDES",45510.5,218
"STUDIO CITY",45346.5,450
"VISALIA",45088,189
"REDONDO BEACH",44548.5,592
"WOODLAND HILLS",43335,395
"FULLERTON",43034,320
"PLEASANTON",41847.26,426
"FAIR OAKS",41464,324
"CAMARILLO",40812,509
"SAN CARLOS",40345,385
"WEST HOLLYWOOD",40062,378
"ORINDA",39649.5,346
